,emotion,gender,actor_id,intensity,statement,repetition,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40
0,neutral,male,1,01,01,01,-670.19543,65.06385,0.88895434,14.715979,9.182165,0.6605749,-3.846836,-3.583946,-12.959006,-3.300133,0.91077954,-3.597036,2.3762746,-4.3889413,0.54508036,0.8918518,-4.802591,-2.105414,-1.605969,-1.0523903,-7.067281,-0.623061,-2.72803,-5.307361,-1.9691168,-0.9461528,-5.721111,0.33299115,-2.5438452,0.18220836,-2.3510973,-2.504727,-3.1515074,-2.1908994,-3.8017602,-1.8130876,-1.2612222,-2.1449544,-4.152173,-1.7796154
1,neutral,male,1,01,01,02,-660.23035,63.325817,-2.630457,17.983355,9.407703,-0.98149806,-2.3246975,-6.8480315,-14.13367,-2.2003322,0.48575446,-3.5897148,0.703676,-4.2963767,-0.5792637,0.16835214,-5.5569296,-1.3754358,-2.4312057,0.39963496,-6.5191474,-1.1592474,-2.423798,-5.653184,-0.8786645,-2.0320818,-5.7213798,1.300427,-2.8386805,0.05838498,-1.7864137,-3.1133718,-2.5567517,-2.9351125,-3.6549623,-0.9880482,-1.4998254,-3.6171253,-3.751694,-2.7309139
2,neutral,male,1,01,02,01,-661.9645,66.65587,-0.9321579,14.899042,5.3247023,0.4743428,-3.3466513,-7.1025248,-12.873403,-5.088379,0.0013454357,-3.964232,1.5700028,-4.5193954,-2.757466,0.7277309,-6.1253796,-3.963368,-0.18352365,-0.12927583,-6.4628143,-1.356646,-2.4518979,-4.0212307,-1.6523415,-0.519188,-5.061178,-0.47720954,-2.6639094,-0.45191905,-2.2644928,-2.64365,-2.937167,-2.361648,-3.3451045,-2.4260595,-1.4600126,-3.2813096,-4.208614,-2.7262053
3,neutral,male,1,01,02,02,-657.72235,65.03519,3.1486723,15.666511,7.5826573,2.6280875,-1.8500687,-7.4775777,-11.976265,-4.458463,0.47438192,-2.4187021,0.20188099,-4.021397,-2.424711,1.2347198,-5.7347455,-2.6751385,-0.21636854,-0.62678343,-5.7387567,-2.3356442,-1.8039048,-3.3132303,-2.4136574,-1.2878956,-5.5550337,-0.63119024,-2.7793758,0.6800429,-2.9185772,-2.8496115,-3.5914874,-3.1040156,-3.4957066,-1.6284108,-1.304878,-3.0327938,-3.973964,-3.8617795
4,calm,male,1,01,01,01,-694.5796,72.531715,3.1045616,17.112118,9.077339,1.8362565,-4.146086,-4.797151,-11.764125,-5.92548,0.92036,-3.949307,0.5134985,-4.053604,-0.6203259,1.77352,-6.5415163,-0.92214626,-1.4762514,-1.9375764,-5.5625534,-1.5466841,-3.2701268,-5.0892906,-2.0948453,-1.4452753,-5.6710796,1.5286288,-3.601097,0.57211053,-2.50713,-1.4058732,-2.2903452,-2.8791432,-2.0690923,-0.54446393,-2.0738165,-2.080611,-4.5739408,-3.246941
5,calm,male,1,01,01,02,-676.02344,80.26263,2.5032034,13.3088665,11.569082,1.1933576,-5.3659854,-5.692615,-9.998198,-5.729335,1.9533231,-2.9317298,-0.27833557,-4.232111,-2.0333169,1.1834761,-5.9730005,-2.6199806,-1.0506544,-1.7569708,-5.558182,-2.149296,-3.129878,-5.1158524,-2.5825572,-1.6264857,-5.361411,0.3847888,-3.4677882,0.3235419,-4.073999,-2.7750332,-4.051667,-4.126582,-4.494489,-1.4400598,-2.5257034,-3.6805167,-5.154536,-4.82557
6,calm,male,1,01,02,01,-666.6185,75.51372,0.7542206,15.570236,6.638893,3.128689,-1.8389336,-5.8404164,-10.310458,-5.5001116,2.0212364,-2.0762115,1.4491688,-5.4239283,1.5644327,-0.05036087,-7.4645844,-3.1895034,-0.2026801,-2.1165664,-6.964725,-1.7746927,-2.7236187,-3.8337162,-2.771869,-1.2965734,-6.3496385,0.9910259,-4.5076966,-0.20283167,-3.7652102,-2.0190785,-2.9941037,-3.6608636,-4.882985,-2.326971,-2.525656,-2.697036,-5.524481,-3.400655
7,calm,male,1,01,02,02,-667.1171,79.26519,0.21456468,14.969451,8.738844,1.6147745,-1.5327644,-7.3180475,-9.807106,-5.784626,0.626626,-2.4500756,1.2911063,-4.725026,0.259152,0.9932464,-6.7559447,-2.5282087,-0.91395223,-1.5174522,-7.6917267,-1.9538151,-2.9422507,-2.5979006,-3.1743999,-0.9015695,-5.173778,0.1521433,-4.564284,-0.108753026,-4.197777,-2.1417787,-2.6588342,-3.096152,-4.1241503,-2.103049,-1.4097145,-2.7554288,-4.0432625,-3.9080098
8,calm,male,1,02,01,01,-687.39374,86.30303,4.9101663,16.588547,11.206295,2.0070603,-4.878831,-3.8133452,-7.948537,-5.7055464,2.2010863,-0.16574499,-0.34436598,-4.777062,0.16891798,0.49595407,-2.4586954,-3.2821567,-0.5189236,1.2123777,-8.704743,-0.0055117095,-3.3424683,-4.883253,-2.3363051,-1.0039864,-4.046401,1.1709553,-3.9957614,0.20260514,-4.313591,-3.5529664,-4.6752963,-2.6140013,-6.578098,0.57004464,-3.5753553,-3.0310507,-5.966482,-3.9765954
9,calm,male,1,02,01,02,-632.44934,89.4056,-0.7624836,15.570317,9.038041,0.53648245,-6.2400036,-8.146271,-10.77365,-6.5939755,3.489904,-2.0718486,-1.5570122,-6.293864,-0.25939983,-1.2985005,-5.4691114,-3.0567813,-1.1076869,-0.447974,-8.642469,0.058578372,-2.9185982,-4.8966184,-3.2286775,-2.0899036,-6.127,0.17608716,-3.652066,-0.9486786,-5.332226,-3.2980518,-5.712327,-3.876625,-7.0523615,-1.5666846,-2.775461,-3.0271728,-5.990308,-4.581634
10,calm,male,1,02,02,01,-612.8108,91.1305,3.6563618,14.375622,5.6840687,6.5952797,-7.8155265,-7.7080708,-12.261244,-7.313222,2.3346727,0.59225404,-0.21268299,-6.798617,1.2515184,-2.2120385,-6.800147,-3.54487,-2.9908338,-0.8893137,-10.403039,-0.6741831,-2.095752,-6.423266,-3.4163206,0.2691767,-7.5568905,1.7350616,-6.386213,-0.40796506,-5.87651,-3.0854402,-4.0128646,-3.9857943,-6.4035287,-0.74637485,-2.517027,-4.669392,-6.886883,-3.9473896
11,calm,male,1,02,02,02,-615.4578,86.49379,-5.1948757,19.32302,8.754477,3.5146327,-6.1018257,-11.22689,-13.208188,-5.202708,4.8854938,-1.4740359,-0.51256,-7.3895626,-0.6607963,0.08569518,-6.241501,-3.198299,-0.84314084,-0.18877529,-9.285505,-2.1676736,-2.014457,-5.0593767,-1.6729467,-0.6057874,-5.602829,1.131764,-3.6940224,-1.1742232,-5.8070245,-4.0277047,-5.1820025,-3.6595757,-5.8025265,-0.8491286,-2.177039,-4.197674,-6.0780406,-5.1339254
12,happy,male,1,01,01,01,-616.1367,73.989075,-5.612793,14.566868,4.5197744,-3.8280938,-7.030733,-8.178227,-13.892967,-3.1425695,-1.8347379,-8.218003,1.0897971,-5.7070174,-2.9523382,2.3759916,-9.5676365,-3.492208,-3.0170002,-3.032112,-6.996414,-0.15401095,-3.6122754,-5.5995774,-3.235638,-2.3165612,-6.1155367,0.20279546,-4.8352094,-1.3289825,-3.4197,-3.182158,-3.0847425,-4.359793,-4.9631405,-2.7922258,-2.9150476,-0.9229606,-2.413197,-0.96955603
13,happy,male,1,01,01,02,-601.02,73.71425,-7.1425,18.01858,7.6638527,-1.9836943,-7.730342,-5.682049,-16.004135,-1.6102891,0.20392543,-7.506825,3.873856,-4.7345595,-2.7367141,3.6645718,-9.231106,-3.2308083,0.3701524,-2.0413215,-7.295741,-0.1675964,-4.372072,-6.5829487,-0.73436034,-1.3135661,-4.246603,-0.7706639,-4.478012,-1.4435349,-1.894482,-4.020631,-1.9677854,-3.4679804,-3.6276119,-1.8587617,-1.3443514,-2.3628926,-2.7604785,-1.1814466
14,happy,male,1,01,02,01,-624.1426,73.20094,-2.9849498,15.253688,2.033355,-0.27825788,-6.6547213,-8.6123905,-16.168875,-3.9341974,2.776278,-8.272647,2.2555943,-4.7822733,-0.7219412,1.9059551,-7.9459333,-2.381286,-1.1908724,-3.9018831,-5.9224524,-2.3207676,-2.8354514,-4.452953,-2.9136252,-0.5198488,-6.052693,1.4038393,-3.1976666,-0.87107694,-2.8846624,-2.7405617,-2.8686137,-4.4013195,-4.2753286,-2.1497471,-2.0675006,-1.4099271,-4.3288116,-2.6689928
15,happy,male,1,01,02,02,-607.8641,69.66942,-0.69582283,21.833483,2.0618675,-0.1783928,-3.9301248,-8.634003,-17.164713,-5.2714367,0.26509517,-6.399935,2.693739,-5.658616,-1.4491727,1.0056697,-9.3899765,-3.1343074,-1.9691658,-3.5088248,-7.084035,-2.0347242,-3.3759427,-5.431683,-3.6853797,0.09807897,-7.9559793,0.37868944,-4.865133,-0.81707704,-3.7811697,-2.7363656,-3.5359168,-3.6825576,-4.62905,-2.2974508,-2.856305,-3.0255582,-5.6505446,-2.42604
16,happy,male,1,02,01,01,-559.3498,59.434597,-7.3483286,6.731324,-1.6105077,-1.6446794,-15.297956,-10.8014145,-12.724634,-10.259271,-0.9808684,-8.853123,-2.5251474,-4.815952,-7.831819,-0.68551916,-9.563294,-4.254345,-3.7189465,-6.3081384,-6.753067,-3.7187629,-5.278647,-6.0989165,-4.4028516,-1.8027308,-2.3074834,3.2584708,0.969965,0.8144747,-2.7980423,-1.4597548,-1.7789571,1.6586231,1.4441354,6.197428,2.7241247,0.920712,-1.577102,-0.90876985
17,happy,male,1,02,01,02,-525.63245,65.39656,-13.422568,7.114839,2.479304,-2.894315,-13.134979,-8.312349,-17.194006,-9.487422,3.2600133,-9.445167,-1.7099079,-2.532083,-7.8684645,0.45009577,-8.710569,-6.723274,-2.7868094,-5.5558443,-7.425419,-4.999535,-4.182294,-5.460987,-2.7530372,1.0446012,-5.2807765,0.8361202,-1.1316181,-3.0014799,-1.3383191,1.9318852,1.0149285,1.7291298,-0.40419212,4.946807,4.8868237,6.3893833,2.1026235,0.054586735
18,happy,male,1,02,02,01,-460.33026,63.159615,-13.468573,9.937035,-0.075394146,-3.2403307,-13.81861,-12.049684,-23.861622,-6.4673862,-0.10421724,-12.272019,0.17549784,-5.2150364,-9.269622,2.2708855,-12.546608,-5.184422,-3.1558404,-6.288768,-9.308995,-3.2842011,-6.3665113,-7.128248,-5.502723,-3.8811312,-7.686899,-2.3978238,-6.656608,-2.5885377,-0.43188477,-0.46020672,2.2796595,1.1547877,0.6360319,2.2901688,4.036098,2.9850206,1.3245144,2.9429224
19,happy,male,1,02,02,02,-475.0104,64.74805,-11.6566105,8.972135,-1.3624594,-4.3265204,-12.854099,-12.519541,-22.508833,-9.462558,-2.3589675,-9.268344,-0.5677206,-3.740056,-10.146372,0.19732742,-11.131612,-7.457004,-3.4312646,-4.0856085,-10.389316,-3.643865,-5.62061,-8.4046135,-5.6802435,-2.3884034,-8.855573,-2.657618,-5.4910474,-4.0513577,-3.8324237,-2.5375051,-3.8434284,1.8160137,-0.5659532,4.7380705,1.8876504,1.7308261,0.9016105,2.9001403
